Date,Team,Opp,GS,GStot,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,GSv2
5/25/18,WSN,@MIA,1,307,1,0,0,0,6,29,7,4,4,1,2,4,6,3,1.5,0.286,69.80%,31.80%,8.30%,83.7,6,5.49,6.63,42
5/19/18,WSN,LAD,1,306,0,0,0,0,7,29,5,2,2,1,3,13,16.71,3.86,1.29,0.333,90.90%,53.80%,16.70%,90.8,2.57,2.59,2.15,65
5/11/18,WSN,@ARI,1,305,1,0,0,0,7,25,4,1,1,1,0,11,14.14,0,1.29,0.231,100.00%,8.30%,14.30%,92.2,1.29,1.88,1.67,74
5/6/18,WSN,PHI,1,304,0,0,0,0,6.1,26,5,1,1,0,2,15,21.32,2.84,0,0.625,87.50%,12.50%,0.00%,89,1.42,-0.15,0.37,74
5/1/18,WSN,PIT,1,303,1,0,0,0,6.1,24,3,2,2,1,2,8,11.37,2.84,1.42,0.154,83.30%,28.60%,14.30%,87.3,2.84,3.63,3.41,62
4/25/18,WSN,@SFG,1,302,1,0,0,0,6,25,5,2,2,0,2,10,15,3,0,0.385,71.40%,30.80%,0.00%,87.6,3,0.83,2.48,64
4/20/18,WSN,@LAD,1,301,1,0,0,0,6,26,4,1,1,0,3,9,13.5,4.5,0,0.333,88.90%,41.70%,0.00%,93.6,1.5,2.66,4.31,66
4/14/18,WSN,COL,1,300,1,0,0,0,7,23,1,2,2,1,1,11,14.14,1.29,1.29,0,0.00%,40.00%,16.70%,81.6,2.57,2.3,1.86,75
4/9/18,WSN,ATL,1,299,1,0,0,0,9,28,2,0,0,0,0,10,10,0,0,0.111,100.00%,50.00%,0.00%,87,0,0.94,2.41,98
4/4/18,WSN,@ATL,1,298,0,1,0,0,5,24,6,5,2,1,2,7,12.6,3.6,1.8,0.357,45.50%,20.00%,9.10%,89.3,3.6,4.16,5.19,38
3/30/18,WSN,@CIN,1,297,1,0,0,0,6,24,5,0,0,0,1,10,15,1.5,0,0.385,100.00%,46.20%,0.00%,91.9,0,0.33,1.98,72
9/30/17,WSN,PIT,1,296,0,0,0,0,3.1,12,1,0,0,0,1,5,13.5,2.7,0,0.167,100.00%,16.70%,0.00%,87.1,0,1.06,3.19,61
9/24/17,WSN,@NYM,1,295,1,0,0,0,6,22,3,1,1,1,1,10,15,1.5,1.5,0.2,100.00%,27.30%,14.30%,89.9,1.5,2.49,2.4,69
9/19/17,WSN,@ATL,1,294,1,0,0,0,7,27,5,2,2,0,1,7,9,1.29,0,0.263,66.70%,33.30%,0.00%,84.4,2.57,1.59,3.62,71
9/13/17,WSN,ATL,1,293,0,1,0,0,6,30,7,7,7,0,6,7,10.5,9,0,0.412,46.20%,29.40%,0.00%,87.6,10.5,3.82,6.49,36
9/8/17,WSN,PHI,1,292,1,0,0,0,6,27,6,4,4,1,3,7,10.5,4.5,1.5,0.333,69.80%,26.70%,14.30%,85.1,6,4.99,4.9,47
9/2/17,WSN,@MIL,1,291,0,0,0,0,5,19,2,1,1,0,2,2,3.6,3.6,0,0.133,75.00%,28.60%,0.00%,80.1,1.8,3.56,5.34,61
8/28/17,WSN,MIA,1,290,1,0,0,0,7,27,5,1,1,1,2,10,12.86,2.57,1.29,0.308,100.00%,46.20%,20.00%,87.7,1.29,3.44,2.86,69
8/13/17,WSN,SFG,1,289,0,0,0,0,7,25,5,2,2,1,1,10,12.86,1.29,1.29,0.308,87.00%,35.70%,14.30%,87.7,2.57,2.59,2.51,68
8/7/17,WSN,MIA,1,288,0,0,0,0,7,28,5,2,2,1,2,9,11.57,2.57,1.29,0.25,89.30%,52.90%,14.30%,86.9,2.57,3.3,3.22,65
8/1/17,WSN,@MIA,1,287,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,100.00%,66.70%,0.00%,88.7,0,3.16,4.94,46
7/27/17,WSN,MIL,1,286,1,0,0,0,6,23,3,1,1,1,3,9,13.5,4.5,1.5,0.2,100.00%,36.40%,16.70%,88.3,1.5,3.82,3.44,64
7/21/17,WSN,@ARI,1,285,0,0,0,0,5,25,8,5,5,3,2,9,16.2,3.6,5.4,0.455,86.20%,28.60%,100.00%,94.6,9,8.56,1.82,26
